flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
39206,10.0.1.1,10.0.5.5,2153,80,2,0,18,41,0.019361234724796554,0.0,103.299197,108,6
56614,10.0.1.1,10.0.5.5,2154,80,2,0,18,41,0.019350545385446415,0.0,103.35626,108,6
8487,10.0.1.1,10.0.5.5,2155,80,2,0,18,41,0.019344424046179164,0.0,103.388966,108,6
21798,10.0.1.1,10.0.5.5,2156,80,2,0,18,41,0.01935118476903079,0.0,103.352845,108,6
43303,10.0.1.1,10.0.5.5,2157,80,2,0,18,41,0.01934643711370969,0.0,103.378208,108,6
60711,10.0.1.1,10.0.5.5,2158,80,2,0,18,41,0.01934751137024222,0.0,103.372468,108,6
4390,10.0.1.1,10.0.5.5,2159,80,2,0,18,41,0.01935339794284605,0.0,103.341026,108,6
50465,10.0.1.1,10.0.5.5,2160,80,2,0,18,41,0.01934000754415014,0.0,103.412576,108,6
14624,10.0.1.1,10.0.5.5,2161,80,2,0,18,41,0.01934000623502461,0.0,103.412583,108,6
32032,10.0.1.1,10.0.5.5,2162,80,2,0,18,41,0.019304795883684705,0.0,103.601199,108,6
33057,10.0.1.1,10.0.5.5,2163,80,2,0,18,41,0.019295681201077428,0.0,103.650137,108,6
62752,10.0.1.1,10.0.5.5,2164,80,2,0,18,41,0.019275900786938648,0.0,103.7565,108,6
2337,10.0.1.1,10.0.5.5,2165,80,2,0,18,41,0.019255885385658172,0.0,103.864349,108,6
19745,10.0.1.1,10.0.5.5,2166,80,2,0,18,41,0.01924110873656588,0.0,103.944114,108,6
45344,10.0.1.1,10.0.5.5,2167,80,2,0,18,41,0.019210590906345977,0.0,104.109239,108,6
11915,10.0.2.2,10.0.5.5,33479,5000,7,0,18,41,0.9983023156050054,0.0,7.011904,7462,17
42275,10.0.1.1,10.0.5.5,2168,80,2,0,21,42,0.01918594919313155,0.0,104.242953,108,6
22818,10.0.1.1,10.0.5.5,2169,80,2,0,21,42,0.0191625103421266,0.0,104.370459,108,6
7458,10.0.1.1,10.0.5.5,2170,80,2,0,21,42,0.0191271771748509,0.0,104.56326,108,6
57635,10.0.1.1,10.0.5.5,2171,80,2,0,21,42,0.019125161376916375,0.0,104.574281,108,6
38178,10.0.1.1,10.0.5.5,2172,80,2,0,21,42,0.019103808077642156,0.0,104.691169,108,6
26915,10.0.1.1,10.0.5.5,2173,80,2,0,21,42,0.019070318720425094,0.0,104.875017,108,6
11555,10.0.1.1,10.0.5.5,2174,80,2,0,21,42,0.019067128897089957,0.0,104.892562,108,6
53538,10.0.1.1,10.0.5.5,2175,80,2,0,21,42,0.019049473377784707,0.0,104.989779,108,6
50450,10.0.1.1,10.0.5.5,2176,80,2,0,21,42,0.01902852093666296,0.0,105.105384,108,6
14611,10.0.1.1,10.0.5.5,2177,80,2,0,21,42,0.019002788934816623,0.0,105.247709,108,6
32019,10.0.1.1,10.0.5.5,2178,80,2,0,21,42,0.018980560186179555,0.0,105.370968,108,6
33042,10.0.1.1,10.0.5.5,2179,80,2,0,21,42,0.01896739887275231,0.0,105.444084,108,6
62739,10.0.1.1,10.0.5.5,2180,80,2,0,21,42,0.018965068619411277,0.0,105.45704,108,6
2322,10.0.1.1,10.0.5.5,2181,80,2,0,21,42,0.018952411338511305,0.0,105.527469,108,6
19730,10.0.1.1,10.0.5.5,2182,80,2,0,21,42,0.0189364846067589,0.0,105.616224,108,6
45331,10.0.1.1,10.0.5.5,2183,80,2,0,21,42,0.018905071745834317,0.0,105.791717,108,6
42256,10.0.1.1,10.0.5.5,2184,80,2,0,21,42,0.018908883846498855,0.0,105.770389,108,6
22801,10.0.1.1,10.0.5.5,2185,80,2,0,21,42,0.018908663243259488,0.0,105.771623,108,6
7441,10.0.1.1,10.0.5.5,2186,80,2,0,21,42,0.01888874848252517,0.0,105.88314,108,6
57616,10.0.1.1,10.0.5.5,2187,80,2,0,21,42,0.018853166234201742,0.0,106.082977,108,6
38161,10.0.1.1,10.0.5.5,2188,80,2,0,21,42,0.018840347946560334,0.0,106.155152,108,6
26896,10.0.1.1,10.0.5.5,2189,80,2,0,10,22,0.01881012173402913,0.0,106.325734,108,6
11536,10.0.1.1,10.0.5.5,2190,80,2,0,10,22,0.018822583588011515,0.0,106.255339,108,6
53521,10.0.1.1,10.0.5.5,2191,80,2,0,10,22,0.018806177107022457,0.0,106.348036,108,6
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,10,22,0.46756118914837236,0.0,8.55503,220,17
1302,10.0.1.1,10.0.5.5,2192,80,2,0,10,22,0.01877227183394724,0.0,106.540115,108,6
63767,10.0.1.1,10.0.5.5,2193,80,2,0,10,22,0.018775606289204758,0.0,106.521194,108,6
48407,10.0.1.1,10.0.5.5,2194,80,2,0,10,22,0.01875781737901088,0.0,106.622213,108,6
16662,10.0.1.1,10.0.5.5,2195,80,2,0,10,22,0.018746438586746864,0.0,106.686931,108,6
13591,10.0.1.1,10.0.5.5,2196,80,2,0,10,22,0.018737209863439654,0.0,106.739478,108,6
51478,10.0.1.1,10.0.5.5,2197,80,2,0,10,22,0.01872768298100366,0.0,106.793777,108,6
36118,10.0.1.1,10.0.5.5,2198,80,2,0,31,46,0.018728496174798298,0.0,106.78914,108,6
28951,10.0.1.1,10.0.5.5,2199,80,2,0,31,46,0.018710206839746245,0.0,106.893527,108,6
25876,10.0.1.1,10.0.5.5,2200,80,2,0,31,46,0.01872114772766874,0.0,106.831057,108,6
39189,10.0.1.1,10.0.5.5,2201,80,2,0,31,46,0.018709818268073847,0.0,106.895747,108,6
56597,10.0.1.1,10.0.5.5,2202,80,2,0,31,46,0.018684233832439043,0.0,107.04212,108,6
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.16507797003950397,0.0,12.115487,152,1
8468,10.0.1.1,10.0.5.5,2203,80,2,0,31,46,0.018678906156904623,0.0,107.072651,108,6
21781,10.0.1.1,10.0.5.5,2204,80,2,0,31,46,0.01867554858326775,0.0,107.091901,108,6
43284,10.0.1.1,10.0.5.5,2205,80,2,0,31,46,0.01866525385627178,0.0,107.150967,108,6
60692,10.0.1.1,10.0.5.5,2206,80,2,0,31,46,0.0186569616386096,0.0,107.198591,108,6
13916,10.0.1.1,10.0.5.5,80,2151,0,2,31,46,0.0,0.018192672757324873,109.934369,108,6
4373,10.0.1.1,10.0.5.5,2207,80,2,0,31,46,0.018632390025112733,0.0,107.33996,108,6
63768,10.0.1.1,10.0.5.5,2209,80,2,0,31,46,0.01861086217015085,0.0,107.464124,108,6
50777,10.0.1.1,10.0.5.5,80,2152,0,2,31,46,0.0,0.018138334657461994,110.263706,108,6
48408,10.0.1.1,10.0.5.5,2210,80,2,0,31,46,0.01858326726749529,0.0,107.623701,108,6
16665,10.0.1.1,10.0.5.5,2211,80,2,0,31,46,0.01857596417172056,0.0,107.666013,108,6
13592,10.0.1.1,10.0.5.5,2212,80,2,0,31,46,0.018571386268463705,0.0,107.692553,108,6
22104,10.0.1.1,10.0.5.5,80,2153,0,2,31,46,0.0,0.018083382767274024,110.598776,108,6
51481,10.0.1.1,10.0.5.5,2213,80,2,0,31,46,0.018550234954493396,0.0,107.815346,108,6
36121,10.0.1.1,10.0.5.5,2214,80,2,0,31,46,0.01854287905418263,0.0,107.858116,108,6
28952,10.0.1.1,10.0.5.5,2215,80,2,0,31,46,0.01853838428544915,0.0,107.884267,108,6
42584,10.0.1.1,10.0.5.5,80,2154,0,2,31,46,0.0,0.01804764428295252,110.817787,108,6
25883,10.0.1.1,10.0.5.5,2216,80,2,0,31,46,0.018523654887897482,0.0,107.970053,108,6
13913,10.0.1.1,10.0.5.5,80,2155,0,2,31,46,0.0,0.018038113451436077,110.87634,108,6
39194,10.0.1.1,10.0.5.5,2217,80,2,0,31,46,0.01852042835194959,0.0,107.988863,108,6
56602,10.0.1.1,10.0.5.5,2218,80,2,0,31,46,0.01851021959867419,0.0,108.048421,108,6
8475,10.0.1.1,10.0.5.5,2219,80,2,0,31,46,0.01849960934837429,0.0,108.110391,108,6
1627,10.0.1.1,10.0.5.5,80,2156,0,2,31,46,0.0,0.018008886701249373,111.056282,108,6
21786,10.0.1.1,10.0.5.5,2220,80,2,0,31,46,0.018479639751989192,0.0,108.227218,108,6
