flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp,label
10192,s9,C5,10.0.2.5,10.0.9.2,1000,9870,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
13996,s9,C5,10.0.9.1,10.0.10.1,13193,43198,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,5,0
45066,s9,C5,10.0.6.5,10.0.9.1,16412,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
18383,s9,C5,10.0.2.5,10.0.9.2,1000,9892,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
55236,s9,C5,10.0.2.5,10.0.9.2,1000,9917,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
47083,s9,C5,10.0.2.5,10.0.9.2,1000,10007,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
32789,s9,C5,10.0.6.5,10.0.9.1,16504,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
59343,s9,C5,10.0.2.5,10.0.9.2,1000,10086,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
38945,s9,C5,10.0.6.5,10.0.9.1,16530,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
19497,s9,C5,10.0.6.5,10.0.9.1,16573,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
18332,s9,C5,10.0.2.5,10.0.9.2,1000,10144,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
62521,s9,C5,10.0.6.5,10.0.9.1,16623,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
8228,cs5,C5,10.0.2.5,10.0.9.2,0,0,0,7,0.0,1.222820627935861,5.72447,490,1,1,5,69.99999000000143,42,5,0
56566,cs5,C5,10.0.6.5,10.0.9.1,17441,80,1,1,0.0067481490367044,0.0067481490367044,148.188784,96,17,1,8,47.999976000012,2,54,0
56383,s9,C5,10.0.6.5,10.0.9.1,16625,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
46299,s9,C5,10.0.2.5,10.0.9.2,1000,10263,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
32403,s9,C5,10.0.9.1,10.0.9.3,13548,46132,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,4,0
3510,s9,C5,10.0.9.1,10.0.9.3,37285,43999,0,1,0.0,0.0,0.0,46,17,8,1,45.999954000046,10,4,0
13416,cs5,C5,10.0.6.5,10.0.9.1,17327,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
50285,cs5,C5,10.0.6.5,10.0.9.1,17339,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
57470,cs5,C5,10.0.6.5,10.0.9.1,17376,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
51320,cs5,C5,10.0.6.5,10.0.9.1,17406,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
17522,cs5,C5,10.0.2.5,10.0.9.2,1000,10760,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
7404,cs5,C5,10.0.6.5,10.0.9.1,17489,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
29818,cs5,C5,10.0.2.5,10.0.9.2,1000,10775,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
26850,cs5,C5,10.0.6.5,10.0.9.1,17510,80,1,0,0.0,0.0,0.0,42,17,1,8,41.99995800004201,2,54,1
46188,cs5,C5,10.0.2.5,10.0.9.2,1000,10787,1,0,0.0,0.0,0.0,42,17,1,5,41.99995800004201,42,5,1
22199,cs5,C5,10.0.6.2,10.0.9.1,51302,5027,1,0,0.0,0.0,0.0,74,6,1,8,73.99992600007401,1,54,0
